"DDKey","SortNumber","LCID","SeqNo","DisplayValue","CatalogID",
"Unknown login type: %%s","1","1033","0","","ATM",
"All Customer","1","2052","0","全部客户","ATM",
"All Customer","1","1028","0","全部客戶","ATM",
"All Customer","1","1033","0","","ATM",
"TotalSales","1","2052","0","销售总额","ATM",
"TotalSales","1","1028","0","銷售總額","ATM",
"TotalSales","1","1033","0","","ATM",
"TotalQuantity","1","2052","0","总数量","ATM",
"TotalQuantity","1","1028","0","總數量","ATM",
"TotalQuantity","1","1033","0","","ATM",
"TradingManage","1","2052","0","交易管理","ATM",
"TradingManage","1","1028","0","交易管理","ATM",
"TradingManage","1","1033","0","","ATM",
"UnPickup","1","2052","0","未取货","TradingManage",
"UnPickup","1","1028","0","未取貨","TradingManage",
"UnPickup","1","1033","0","","TradingManage",
"Offline orders","1","2052","0","线下订单","TradingManage",
"Offline orders","1","1028","0","線下訂單","TradingManage",
"Offline orders","1","1033","0","","TradingManage",
"Delivery vedio","1","2052","0","出货视频","TradingManage",
"Delivery vedio","1","1028","0","出貨視頻","TradingManage",
"Delivery vedio","1","1033","0","","TradingManage",
"Triding time","1","2052","0","交易时间","TradingManage",
"Triding time","1","1028","0","交易時間","TradingManage",
"Triding time","1","1033","0","","TradingManage",
"Commodity Amount","1","2052","0","商品总价","TradingManage",
"Commodity Amount","1","1028","0","商品總價","TradingManage",
"Commodity Amount","1","1033","0","","TradingManage",
"Abnormal trading","1","2052","0","交易异常","TradingManage",
"Abnormal trading","1","1028","0","交易異常","TradingManage",
"Abnormal trading","1","1033","0","","TradingManage",
"No operation permission！","1","2052","0","无操作权限！","TradingManage",
"No operation permission！","1","1028","0","無操作權限！","TradingManage",
"No operation permission！","1","1033","0","","TradingManage",
"Merchant serial number","1","2052","0","商户流水号","TradingManage",
"Merchant serial number","1","1028","0","商戶流水號","TradingManage",
"Merchant serial number","1","1033","0","","TradingManage",
"Delivery image","1","2052","0","出货图像","TradingManage",
"Delivery image","1","1028","0","出貨圖像","TradingManage",
"Delivery image","1","1033","0","","TradingManage",
"RefundTrading","1","2052","0","退款交易","TradingManage",
"RefundTrading","1","1028","0","退款交易","TradingManage",
"RefundTrading","1","1033","0","","TradingManage",
"Online orders","1","2052","0","网络订单","TradingManage",
"Online orders","1","1028","0","網絡訂單","TradingManage",
"Online orders","1","1033","0","","TradingManage",
"Refund Details","1","2052","0","退款状况","TradingManage",
"Refund Details","1","1028","0","退款狀況","TradingManage",
"Refund Details","1","1033","0","","TradingManage",
"Refund amount","1","2052","0","已退金额","TradingManage",
"Refund amount","1","1028","0","已退金額","TradingManage",
"Refund amount","1","1033","0","","TradingManage",
"Refund count","1","2052","0","已退数量","TradingManage",
"Refund count","1","1028","0","已退數量","TradingManage",
"Refund count","1","1033","0","","TradingManage",
"OrderTrading","1","2052","0","订单交易","TradingManage",
"OrderTrading","1","1028","0","訂單交易","TradingManage",
"OrderTrading","1","1033","0","","TradingManage",
"Trading amount","1","2052","0","交易金额","TradingManage",
"Trading amount","1","1028","0","交易金额","TradingManage",
"Trading amount","1","1033","0","","TradingManage",
"Trade success","1","2052","0","交易成功","TradingManage",
"Trade success","1","1028","0","交易成功","TradingManage",
"Trade success","1","1033","0","","TradingManage",
"CargoTank","1","2052","0","槽位","TradingManage",
"CargoTank","1","1028","0","槽位","TradingManage",
"CargoTank","1","1033","0","","TradingManage",
"Trade Cancel","1","2052","0","取消交易","TradingManage",
"Trade Cancel","1","1028","0","取消交易","TradingManage",
"Trade Cancel","1","1033","0","","TradingManage",
"Pickup success","1","2052","0","取货成功","TradingManage",
"Pickup success","1","1028","0","取貨成功","TradingManage",
"Pickup success","1","1033","0","","TradingManage",
"PresellTrading","1","2052","0","预售交易","TradingManage",
"PresellTrading","1","1028","0","預售交易","TradingManage",
"PresellTrading","1","1033","0","","TradingManage",
"Return Quantity","1","2052","0","退货数量","TradingManage",
"Return Quantity","1","1028","0","退貨數量","TradingManage",
"Return Quantity","1","1033","0","","TradingManage",
"Purchase count","1","2052","0","购买数量","TradingManage",
"Purchase count","1","1028","0","購買數量","TradingManage",
"Purchase count","1","1033","0","","TradingManage",
"Payment ID","1","2052","0","支付ID","TradingManage",
"Payment ID","1","1028","0","支付ID","TradingManage",
"Payment ID","1","1033","0","","TradingManage",
"Pay fail","1","2052","0","付款失败","TradingManage",
"Pay fail","1","1028","0","付款失敗","TradingManage",
"Pay fail","1","1033","0","","TradingManage",
"Pay success","1","2052","0","付款成功","TradingManage",
"Pay success","1","1028","0","付款成功","TradingManage",
"Pay success","1","1033","0","","TradingManage",
"Pickup fail","1","2052","0","取货失败","TradingManage",
"Pickup fail","1","1028","0","取貨失敗","TradingManage",
"Pickup fail","1","1033","0","","TradingManage",
"Pickup Status","1","2052","0","取货状态","TradingManage",
"Pickup Status","1","1028","0","取貨狀態","TradingManage",
"Pickup Status","1","1033","0","","TradingManage",
"Pickup details","1","2052","0","取货详情","TradingManage",
"Pickup details","1","1028","0","取貨詳情","TradingManage",
"Pickup details","1","1033","0","","TradingManage",
"GoodsTrading","1","2052","0","商品交易","TradingManage",
"GoodsTrading","1","1028","0","商品交易","TradingManage",
"GoodsTrading","1","1033","0","","TradingManage",
"RefundSalesVolume","1","2052","0","退货量","ATM",
"RefundSalesVolume","1","1028","0","退貨量","ATM",
"RefundSalesVolume","1","1033","0","","ATM",
"SalesReport","1","2052","0","销售报表","ATM",
"SalesReport","1","1028","0","銷售報表","ATM",
"SalesReport","1","1033","0","","ATM",
"Has no authority on this platform %%s","1","2052","0","%%s在这个平台上没有权限","ATM",
"Has no authority on this platform %%s","1","1028","0","%%s在這個平臺上沒有權限","ATM",
"Has no authority on this platform %%s","1","1033","0","","ATM",
"AdminCipher","1","2052","0","管理员密码","ATM",
"AdminCipher","1","1028","0","管理員密碼","ATM",
"AdminCipher","1","1033","0","","ATM",
"Saleroom","1","2052","0","销售额","ATM",
"Saleroom","1","1028","0","銷售額","ATM",
"Saleroom","1","1033","0","","ATM",
"UpdateTime","1","2052","0","最后更新时间","ATM",
"UpdateTime","1","1028","0","最后更新時間","ATM",
"UpdateTime","1","1033","0","","ATM",
"NameATM","1","2052","0","名称","ATM",
"NameATM","1","1028","0","名稱","ATM",
"NameATM","1","1033","0","Name","ATM",
"SalesRank","1","2052","0","销售排名","ATM",
"SalesRank","1","1028","0","銷售排名","ATM",
"SalesRank","1","1033","0","","ATM",
"AggregateSales","1","2052","0","销售总量","ATM",
"AggregateSales","1","1028","0","銷售總量","ATM",
"AggregateSales","1","1033","0","","ATM",
"Agreed","1","2052","0","已同意","ATM",
"Agreed","1","1028","0","已同意","ATM",
"Agreed","1","1033","0","","ATM",
"Admitrator","1","2052","0","管理员账号","ATM",
"Admitrator","1","1028","0","管理員賬號","ATM",
"Admitrator","1","1033","0","","ATM",
"My Commodity","1","2052","0","我的商品","ATM",
"My Commodity","1","1028","0","我的商品","ATM",
"My Commodity","1","1033","0","","ATM",
"Commodity Model","1","2052","0","型号","My Commodity",
"Commodity Model","1","1028","0","型號","My Commodity",
"Commodity Model","1","1033","0","","My Commodity",
"Commodity SKU","1","2052","0","商品编码","My Commodity",
"Commodity SKU","1","1028","0","商品編碼","My Commodity",
"Commodity SKU","1","1033","0","","My Commodity",
"Commodity Type","1","2052","0","品类","My Commodity",
"Commodity Type","1","1028","0","品類","My Commodity",
"Commodity Type","1","1033","0","","My Commodity",
"Selling Price","1","2052","0","售价","My Commodity",
"Selling Price","1","1028","0","售價","My Commodity",
"Selling Price","1","1033","0","","My Commodity",
"Add New Commodity","1","2052","0","添加新商品","My Commodity",
"Add New Commodity","1","1028","0","添加新商品","My Commodity",
"Add New Commodity","1","1033","0","","My Commodity",
"All the Customer","1","2052","0","全部客户","My Commodity",
"All the Customer","1","1028","0","全部客戶","My Commodity",
"All the Customer","1","1033","0","","My Commodity",
"All the CommodityType","1","2052","0","全部品类","My Commodity",
"All the CommodityType","1","1028","0","全部品類","My Commodity",
"All the CommodityType","1","1033","0","","My Commodity",
"Data is loading, please wait patiently","1","2052","0","数据正在加载,请耐心的等待","My Commodity",
"Data is loading, please wait patiently","1","1028","0","數據正在加載,請耐心的等待","My Commodity",
"Data is loading, please wait patiently","1","1033","0","","My Commodity",
"Commodity Name","1","2052","0","商品名称","My Commodity",
"Commodity Name","1","1028","0","商品名稱","My Commodity",
"Commodity Name","1","1033","0","","My Commodity",
"Commodity Image","1","2052","0","商品图","My Commodity",
"Commodity Image","1","1028","0","商品圖","My Commodity",
"Commodity Image","1","1033","0","","My Commodity",
"Commodity deleted successfully","1","2052","0","删除商品成功","My Commodity",
"Commodity deleted successfully","1","1028","0","刪除商品成功","My Commodity",
"Commodity deleted successfully","1","1033","0","","My Commodity",
"Commodity Management","1","2052","0","商品管理","My Commodity",
"Commodity Management","1","1028","0","商品管理","My Commodity",
"Commodity Management","1","1033","0","","My Commodity",
"Exports","1","2052","0","导出","My Commodity",
"Exports","1","1028","0","導出","My Commodity",
"Exports","1","1033","0","","My Commodity",
"Market Price","1","2052","0","默认市场价","My Commodity",
"Market Price","1","1028","0","默認市場價","My Commodity",
"Market Price","1","1033","0","","My Commodity",
"Sorry,you do not have permission to operate this product","1","2052","0","对不起，您没有操作该商品的权限","My Commodity",
"Sorry,you do not have permission to operate this product","1","1028","0","對不起，您沒有操作該商品的權限","My Commodity",
"Sorry,you do not have permission to operate this product","1","1033","0","","My Commodity",
"Adminstrator","1","2052","0","管理员账号","ATM",
"Adminstrator","1","1028","0","管理員賬號","ATM",
"Adminstrator","1","1033","0","","ATM",
"Not found dynamic password for mobilePhone %%s.","1","2052","0","未找到%%s的动态密码。","ATM",
"Not found dynamic password for mobilePhone %%s.","1","1028","0","未找到%%s的動態密碼。","ATM",
"Not found dynamic password for mobilePhone %%s.","1","1033","0","","ATM",
"MachineSalesVolume","1","2052","0","机器销售量","ATM",
"MachineSalesVolume","1","1028","0","機器銷售量","ATM",
"MachineSalesVolume","1","1033","0","","ATM",
"Not found this user by mobilePhone %%s.","1","2052","0","没有找到%%s找到此用户。","ATM",
"Not found this user by mobilePhone %%s.","1","1028","0","沒有找到%%s找到此用戶。","ATM",
"Not found this user by mobilePhone %%s.","1","1033","0","","ATM",
"MachineSales","1","2052","0","机器销售额","ATM",
"MachineSales","1","1028","0","機器銷售額","ATM",
"MachineSales","1","1033","0","","ATM",
"NortheastChina","1","2052","0","东北地区","ATM",
"NortheastChina","1","1028","0","東北地區","ATM",
"NortheastChina","1","1033","0","","ATM",
"NorthwestChina","1","2052","0","西北地区","ATM",
"NorthwestChina","1","1028","0","西北地區","ATM",
"NorthwestChina","1","1033","0","","ATM",
"MachinesRanking","1","2052","0","机器排行","ATM",
"MachinesRanking","1","1028","0","機器排行","ATM",
"MachinesRanking","1","1033","0","","ATM",
"MachineState","1","2052","0","机器状态","ATM",
"MachineState","1","1028","0","機器狀態","ATM",
"MachineState","1","1033","0","","ATM",
"InventoryReport","1","2052","0","库存报表","ATM",
"InventoryReport","1","1028","0","庫存報表","ATM",
"InventoryReport","1","1033","0","","ATM",
"Not found this user by userAID %%s.","1","2052","0","没有找到%%s此用户。","ATM",
"Not found this user by userAID %%s.","1","1028","0","沒有找到%%s此用戶。","ATM",
"Not found this user by userAID %%s.","1","1033","0","","ATM",
"RuleManage","1","2052","0","规则管理","ATM",
"RuleManage","1","1028","0","規則管理","ATM",
"RuleManage","1","1033","0","","ATM",
"When the quantity of an item falls below the threshold, all atms of the same customer are checked with the same warning threshold, and each item is reminded once a day.","1","2052","0","当单品数量低于阈值时发出提醒，同一客户的所有ATM采用同样的预警阈值进行检查，每种商品每日提醒一次。","RuleManage",
"When the quantity of an item falls below the threshold, all atms of the same customer are checked with the same warning threshold, and each item is reminded once a day.","1","1028","0","當單品數量低于閾值時發出提醒，同一客戶的所有ATM采用同樣的預警閾值進行檢查，每種商品每日提醒一次。","RuleManage",
"When the quantity of an item falls below the threshold, all atms of the same customer are checked with the same warning threshold, and each item is reminded once a day.","1","1033","0","","RuleManage",
"Insufficient quantity reminder","1","2052","0","数量不足提醒","RuleManage",
"Insufficient quantity reminder","1","1028","0","數量不足提醒","RuleManage",
"Insufficient quantity reminder","1","1033","0","","RuleManage",
"The system automatically detects the inventory information of various goods in the ATM of the terminal. When the number of goods on the ATM reaches the set critical value, the replenishment alert is triggered, and the management staff can timely replenish the goods in the form of SMS.","1","2052","0","系统自动检测终端ATM里面，各种商品的库存信息，当ATM在架商品数量达到设定好的临界值时触发补货警报通知，以手机短信形式稿纸管理人员及时补货。","RuleManage",
"The system automatically detects the inventory information of various goods in the ATM of the terminal. When the number of goods on the ATM reaches the set critical value, the replenishment alert is triggered, and the management staff can timely replenish the goods in the form of SMS.","1","1028","0","系統自動檢測終端ATM里面，各種商品的庫存信息，當ATM在架商品數量達到設定好的臨界值時觸發補貨警報通知，以手機短信形式稿紙管理人員及時補貨。","RuleManage",
"The system automatically detects the inventory information of various goods in the ATM of the terminal. When the number of goods on the ATM reaches the set critical value, the replenishment alert is triggered, and the management staff can timely replenish the goods in the form of SMS.","1","1033","0","","RuleManage",
"An alert is sent when a particular item is sold out, only once a day for each item.","1","2052","0","某一种商品售罄时发出提示信息，每种商品每日只提醒一次","RuleManage",
"An alert is sent when a particular item is sold out, only once a day for each item.","1","1028","0","某一種商品售罄時發出提示信息，每種商品每日只提醒一次","RuleManage",
"An alert is sent when a particular item is sold out, only once a day for each item.","1","1033","0","","RuleManage",
"The same warning sent N times in a row without processing, stop sending.","1","2052","0","同一预警连续发送N次未处理，停止发送。","RuleManage",
"The same warning sent N times in a row without processing, stop sending.","1","1028","0","同一預警連續發送N次未處理，停止發送。","RuleManage",
"The same warning sent N times in a row without processing, stop sending.","1","1033","0","","RuleManage",
"MachineReplenishment","1","2052","0","机器补货","RuleManage",
"MachineReplenishment","1","1028","0","機器補貨","RuleManage",
"MachineReplenishment","1","1033","0","","RuleManage",
"The same alarm is sent once a day, and n means n consecutive days of notifications.","1","2052","0","同一警报每日发送1次，n表示连续发送n天通知。","RuleManage",
"The same alarm is sent once a day, and n means n consecutive days of notifications.","1","1028","0","同一警報每日發送1次，n表示連續發送n天通知。","RuleManage",
"The same alarm is sent once a day, and n means n consecutive days of notifications.","1","1033","0","","RuleManage",
"Alarm number","1","2052","0","警报发送次数","RuleManage",
"Alarm number","1","1028","0","警報發送次數","RuleManage",
"Alarm number","1","1033","0","","RuleManage",
"Notification rule","1","2052","0","通知规则","RuleManage",
"Notification rule","1","1028","0","通知規則","RuleManage",
"Notification rule","1","1033","0","","RuleManage",
"Must be a positive integer","1","2052","0","必须是正整数","RuleManage",
"Must be a positive integer","1","1028","0","必須是正整數","RuleManage",
"Must be a positive integer","1","1033","0","","RuleManage",
"The number of alarm notifications must be a positive integer","1","2052","0","警报通知的次数必须为正整数","RuleManage",
"The number of alarm notifications must be a positive integer","1","1028","0","警報通知的次數必須為正整數","RuleManage",
"The number of alarm notifications must be a positive integer","1","1033","0","","RuleManage",
"ReplenishmentRule","1","2052","0","补货规则","RuleManage",
"ReplenishmentRule","1","1028","0","補貨規則","RuleManage",
"ReplenishmentRule","1","1033","0","","RuleManage",
"Commodity sold out to remind","1","2052","0","商品售罄提醒","RuleManage",
"Commodity sold out to remind","1","1028","0","商品售罄提醒","RuleManage",
"Commodity sold out to remind","1","1033","0","","RuleManage",
"ModifyRule","1","2052","0","修改规则","RuleManage",
"ModifyRule","1","1028","0","修改規則","RuleManage",
"ModifyRule","1","1033","0","","RuleManage",
"The threshold must be a positive integer and cannot be empty","1","2052","0","阈值必须为正整数且不能为空","RuleManage",
"The threshold must be a positive integer and cannot be empty","1","1028","0","閾值必須為正整數且不能為空","RuleManage",
"The threshold must be a positive integer and cannot be empty","1","1033","0","","RuleManage",
"Threshold","1","2052","0","阈值","RuleManage",
"Threshold","1","1028","0","閾值","RuleManage",
"Threshold","1","1033","0","","RuleManage",
"Login ID","1","2052","0","登录账号","ATM",
"Login ID","1","1028","0","登錄賬號","ATM",
"Login ID","1","1033","0","","ATM",
"Machinenum","1","2052","0","机器数量","ATM",
"Machinenum","1","1028","0","機器數量","ATM",
"Machinenum","1","1033","0","","ATM",
"No token provided.","1","2052","0","没有提供令牌.","ATM",
"No token provided.","1","1028","0","沒有提供令牌.","ATM",
"No token provided.","1","1033","0","","ATM",
"Your account has expired, please contact the administrator.","1","2052","0","您的账号已到期，请联系管理员！","ATM",
"Your account has expired, please contact the administrator.","1","1028","0","您的賬號已到期，請聯系管理員！","ATM",
"Your account has expired, please contact the administrator.","1","1033","0","","ATM",
"No data to display","1","2052","0","没有数据显示","ATM",
"No data to display","1","1028","0","沒有數據顯示","ATM",
"No data to display","1","1033","0","","ATM",
"MachineOrder","1","2052","0","机器订单","ATM",
"MachineOrder","1","1028","0","機器訂單","ATM",
"MachineOrder","1","1033","0","","ATM",
"MachineOrderATM","1","2052","0","机器订单数","ATM",
"MachineOrderATM","1","1028","0","機器訂單數","ATM",
"MachineOrderATM","1","1033","0","MachineOrder","ATM",
"NonPaymentOrder","1","2052","0","未付款订单","ATM",
"NonPaymentOrder","1","1028","0","未付款訂單","ATM",
"NonPaymentOrder","1","1033","0","","ATM",
"hole","1","2052","0","孔","ATM",
"hole","1","1028","0","孔","ATM",
"hole","1","1033","0","","ATM",
"NorthChina","1","2052","0","华北地区","ATM",
"NorthChina","1","1028","0","華北地區","ATM",
"NorthChina","1","1033","0","","ATM",
"MachineNameATM","1","2052","0","机器名称","ATM",
"MachineNameATM","1","1028","0","機器名稱","ATM",
"MachineNameATM","1","1033","0","Machine Name","ATM",
"MachineDetails","1","2052","0","机器详情","ATM",
"MachineDetails","1","1028","0","機器詳情","ATM",
"MachineDetails","1","1033","0","","ATM",
"NoData","1","2052","0","没有数据","ATM",
"NoData","1","1028","0","沒有數據","ATM",
"NoData","1","1033","0","","ATM",
"Inventory","1","2052","0","库存","ATM",
"Inventory","1","1028","0","庫存","ATM",
"Inventory","1","1033","0","","ATM",
"ReserveOrderATM","1","2052","0","预定订单数","ATM",
"ReserveOrderATM","1","1028","0","預定訂單數","ATM",
"ReserveOrderATM","1","1033","0","ReserveOrder","ATM",
"Safekey","1","2052","0","安全密钥","ATM",
"Safekey","1","1028","0","安全密鑰","ATM",
"Safekey","1","1033","0","","ATM",
"ReserveOrder","1","2052","0","预定订单","ATM",
"ReserveOrder","1","1028","0","預定訂單","ATM",
"ReserveOrder","1","1033","0","","ATM",
"Website logo picture is not satisfied","1","2052","0","网站logo图片不满足","ATM",
"Website logo picture is not satisfied","1","1028","0","網站logo圖片不滿足","ATM",
"Website logo picture is not satisfied","1","1033","0","","ATM",
"ReservePicking","1","2052","0","预定提货","ATM",
"ReservePicking","1","1028","0","預定提貨","ATM",
"ReservePicking","1","1033","0","","ATM",
"ActualAmount","1","2052","0","实际销售额","ATM",
"ActualAmount","1","1028","0","實際銷售額","ATM",
"ActualAmount","1","1033","0","","ATM",
"New customer information","1","2052","0","新增客户信息","ATM",
"New customer information","1","1028","0","新增客戶信息","ATM",
"New customer information","1","1033","0","","ATM",
"Add Commodity","1","2052","0","新增商品","ATM",
"Add Commodity","1","1028","0","新增商品","ATM",
"Add Commodity","1","1033","0","","ATM",
"Image less than","1","2052","0","图片小于","Add Commodity",
"Image less than","1","1028","0","圖片小于","Add Commodity",
"Image less than","1","1033","0","","Add Commodity",
"Please enter the correct amount","1","2052","0","请输入正确的金额","Add Commodity",
"Please enter the correct amount","1","1028","0","請輸入正確的金額","Add Commodity",
"Please enter the correct amount","1","1033","0","","Add Commodity",
"Please enter the correct content","1","2052","0","请输入正确的内容","Add Commodity",
"Please enter the correct content","1","1028","0","請輸入正確的內容","Add Commodity",
"Please enter the correct content","1","1033","0","","Add Commodity",
"Edit Commodity","1","2052","0","编辑商品","Add Commodity",
"Edit Commodity","1","1028","0","編輯商品","Add Commodity",
"Edit Commodity","1","1033","0","","Add Commodity",
"Image size","1","2052","0","图片尺寸","Add Commodity",
"Image size","1","1028","0","圖片尺寸","Add Commodity",
"Image size","1","1033","0","","Add Commodity",
"Only three Commodity Parameter can be added","1","2052","0","最多只能添加三个性能参数","Add Commodity",
"Only three Commodity Parameter can be added","1","1028","0","最多只能添加三個性能參數","Add Commodity",
"Only three Commodity Parameter can be added","1","1033","0","","Add Commodity",
"Only one Commodity Image can be added","1","2052","0","只能添加一张商品图片","Add Commodity",
"Only one Commodity Image can be added","1","1028","0","只能添加一張商品圖片","Add Commodity",
"Only one Commodity Image can be added","1","1033","0","","Add Commodity",
"Enter a maximum of 50 words","1","2052","0","最多输入50个字","Add Commodity",
"Enter a maximum of 50 words","1","1028","0","最多輸入50個字","Add Commodity",
"Enter a maximum of 50 words","1","1033","0","","Add Commodity",
"Enter a maximum of 12 words","1","2052","0","最多输入12个字","Add Commodity",
"Enter a maximum of 12 words","1","1028","0","最多輸入12個字","Add Commodity",
"Enter a maximum of 12 words","1","1033","0","","Add Commodity",
"Enter a maximum of 20 words","1","2052","0","最多输入20个字","Add Commodity",
"Enter a maximum of 20 words","1","1028","0","最多輸入20個字","Add Commodity",
"Enter a maximum of 20 words","1","1033","0","","Add Commodity",
"Please add pictures that meet the specifications","1","2052","0","请添加符合规格的图片","Add Commodity",
"Please add pictures that meet the specifications","1","1028","0","請添加符合規格的圖片","Add Commodity",
"Please add pictures that meet the specifications","1","1033","0","","Add Commodity",
